day,mean_count,ci2.5_count,ci97.5_count
1,11.714285714285714,4.5,18.0
2,23.761904761904763,17.0,34.0
3,35.95238095238095,26.5,51.0
4,48.142857142857146,35.0,64.5
5,68.9047619047619,54.0,91.5
6,96.38095238095238,75.5,121.0
7,134.52380952380952,110.5,167.0
8,168.23809523809524,135.0,208.5
9,216.57142857142858,175.5,279.5
10,283.0952380952381,226.5,363.5
11,380.2857142857143,308.0,492.0
12,503.04761904761904,405.5,639.5
13,645.0,522.5,830.5
14,823.7142857142857,665.0,1061.0
15,1060.4285714285713,882.5,1350.0
16,1361.1904761904761,1128.0,1691.0
17,1714.952380952381,1439.5,2109.5
18,2087.4285714285716,1798.5,2320.0
19,2307.5714285714284,2207.0,2320.0
20,2320.0,2320.0,2320.0
21,2320.0,2320.0,2320.0
22,2320.0,2320.0,2320.0
23,2320.0,2320.0,2320.0
24,2320.0,2320.0,2320.0
25,2320.0,2320.0,2320.0
26,2320.0,2320.0,2320.0
27,2320.0,2320.0,2320.0
28,2320.0,2320.0,2320.0
29,2320.0,2320.0,2320.0
30,2320.0,2320.0,2320.0
31,2320.0,2320.0,2320.0
32,2320.0,2320.0,2320.0
33,2320.0,2320.0,2320.0
34,2320.0,2320.0,2320.0
35,2320.0,2320.0,2320.0
36,2320.0,2320.0,2320.0
37,2320.0,2320.0,2320.0
38,2320.0,2320.0,2320.0
39,2320.0,2320.0,2320.0
40,2320.0,2320.0,2320.0
41,2320.0,2320.0,2320.0
42,2320.0,2320.0,2320.0
43,2320.0,2320.0,2320.0
44,2320.0,2320.0,2320.0
45,2320.0,2320.0,2320.0
46,2320.0,2320.0,2320.0
47,2320.0,2320.0,2320.0
48,2320.0,2320.0,2320.0
49,2320.0,2320.0,2320.0
50,2320.0,2320.0,2320.0
51,2320.0,2320.0,2320.0
52,2320.0,2320.0,2320.0
53,2320.0,2320.0,2320.0
54,2320.0,2320.0,2320.0
55,2320.0,2320.0,2320.0
56,2320.0,2320.0,2320.0
57,2320.0,2320.0,2320.0
58,2320.0,2320.0,2320.0
59,2320.0,2320.0,2320.0
60,2320.0,2320.0,2320.0
61,2320.0,2320.0,2320.0
62,2320.0,2320.0,2320.0
63,2320.0,2320.0,2320.0
64,2320.0,2320.0,2320.0
65,2320.0,2320.0,2320.0
66,2320.0,2320.0,2320.0
67,2320.0,2320.0,2320.0
68,2320.0,2320.0,2320.0
69,2320.0,2320.0,2320.0
70,2320.0,2320.0,2320.0
71,2320.0,2320.0,2320.0
72,2320.0,2320.0,2320.0
73,2320.0,2320.0,2320.0
74,2320.0,2320.0,2320.0
75,2320.0,2320.0,2320.0
76,2320.0,2320.0,2320.0
77,2320.0,2320.0,2320.0
78,2320.0,2320.0,2320.0
79,2320.0,2320.0,2320.0
80,2320.0,2320.0,2320.0
81,2320.0,2320.0,2320.0
82,2320.0,2320.0,2320.0
83,2320.0,2320.0,2320.0
84,2320.0,2320.0,2320.0
85,2320.0,2320.0,2320.0
86,2320.0,2320.0,2320.0
87,2320.0,2320.0,2320.0
88,2320.0,2320.0,2320.0
89,2320.0,2320.0,2320.0
90,2320.0,2320.0,2320.0
91,2320.0,2320.0,2320.0
92,2320.0,2320.0,2320.0
93,2320.0,2320.0,2320.0
94,2320.0,2320.0,2320.0
95,2320.0,2320.0,2320.0
96,2320.0,2320.0,2320.0
97,2320.0,2320.0,2320.0
98,2320.0,2320.0,2320.0
99,2320.0,2320.0,2320.0
100,2320.0,2320.0,2320.0
101,2320.0,2320.0,2320.0
102,2320.0,2320.0,2320.0
103,2320.0,2320.0,2320.0
104,2320.0,2320.0,2320.0
105,2320.0,2320.0,2320.0
106,2320.0,2320.0,2320.0
107,2320.0,2320.0,2320.0
108,2320.0,2320.0,2320.0
109,2320.0,2320.0,2320.0
110,2320.0,2320.0,2320.0
111,2320.0,2320.0,2320.0
112,2320.0,2320.0,2320.0
113,2320.0,2320.0,2320.0
114,2320.0,2320.0,2320.0
115,2320.0,2320.0,2320.0
116,2320.0,2320.0,2320.0
117,2320.0,2320.0,2320.0
118,2320.0,2320.0,2320.0
119,2320.0,2320.0,2320.0
120,2320.0,2320.0,2320.0
121,2320.0,2320.0,2320.0
122,2320.0,2320.0,2320.0
123,2320.0,2320.0,2320.0
124,2320.0,2320.0,2320.0
125,2320.0,2320.0,2320.0
126,2320.0,2320.0,2320.0
127,2320.0,2320.0,2320.0
128,2320.0,2320.0,2320.0
129,2320.0,2320.0,2320.0
130,2320.0,2320.0,2320.0
131,2320.0,2320.0,2320.0
132,2320.0,2320.0,2320.0
133,2320.0,2320.0,2320.0
134,2320.0,2320.0,2320.0
135,2320.0,2320.0,2320.0
136,2320.0,2320.0,2320.0
