day,mean_count,ci2.5_count,ci97.5_count
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.047619047619047616,0.0,0.5
8,0.09523809523809523,0.0,1.0
9,0.09523809523809523,0.0,1.0
10,0.09523809523809523,0.0,1.0
11,0.09523809523809523,0.0,1.0
12,0.09523809523809523,0.0,1.0
13,0.09523809523809523,0.0,1.0
14,0.09523809523809523,0.0,1.0
15,0.09523809523809523,0.0,1.0
16,0.14285714285714285,0.0,1.0
17,0.23809523809523808,0.0,1.0
18,0.23809523809523808,0.0,1.0
19,0.2857142857142857,0.0,1.0
20,0.2857142857142857,0.0,1.0
21,0.42857142857142855,0.0,1.0
22,0.5714285714285714,0.0,2.0
23,0.7142857142857143,0.0,2.5
24,0.7142857142857143,0.0,2.5
25,0.7142857142857143,0.0,2.5
26,0.8095238095238095,0.0,3.0
27,1.0,0.0,3.0
28,1.2380952380952381,0.0,4.0
29,1.2857142857142858,0.0,4.5
30,1.2857142857142858,0.0,4.5
31,1.3333333333333333,0.0,4.5
32,1.4761904761904763,0.0,5.0
33,1.5714285714285714,0.0,5.0
34,1.7142857142857142,0.0,5.5
35,1.7142857142857142,0.0,5.5
36,1.7619047619047619,0.0,5.5
37,1.8095238095238095,0.0,5.5
38,2.0,0.0,5.5
39,2.0952380952380953,0.0,6.0
40,2.3333333333333335,0.0,6.0
41,2.380952380952381,0.0,6.0
42,2.4761904761904763,0.0,6.5
43,2.5714285714285716,0.0,7.0
44,2.6666666666666665,0.0,7.0
45,2.6666666666666665,0.0,7.0
46,2.8095238095238093,0.5,7.0
47,2.9523809523809526,1.0,7.0
48,2.9523809523809526,1.0,7.0
49,3.0952380952380953,1.0,7.0
50,3.1904761904761907,1.0,7.0
51,3.380952380952381,1.0,7.5
52,3.5714285714285716,1.0,8.5
53,3.7142857142857144,1.0,8.5
54,3.8095238095238093,1.0,8.5
55,3.9523809523809526,1.0,8.5
56,4.142857142857143,1.0,8.5
57,4.285714285714286,1.0,9.0
58,4.428571428571429,1.0,9.0
59,4.571428571428571,1.5,9.5
60,4.761904761904762,2.0,10.0
61,4.9523809523809526,2.0,10.0
62,5.095238095238095,2.0,10.0
63,5.428571428571429,2.0,10.5
64,5.476190476190476,2.0,10.5
65,5.619047619047619,2.0,11.5
66,5.761904761904762,2.5,11.5
67,6.095238095238095,2.5,12.0
68,6.238095238095238,2.5,12.0
69,6.571428571428571,2.5,12.5
70,6.857142857142857,3.0,13.0
71,6.9523809523809526,3.0,13.0
72,7.095238095238095,3.0,13.0
73,7.142857142857143,3.0,13.0
74,7.380952380952381,3.0,13.0
75,7.523809523809524,3.0,14.0
76,7.666666666666667,3.5,14.0
77,7.809523809523809,3.5,14.0
78,8.0,3.5,14.0
79,8.238095238095237,3.5,14.5
80,8.333333333333334,3.5,15.0
81,8.571428571428571,3.5,15.5
82,8.80952380952381,3.5,16.0
83,8.904761904761905,3.5,16.5
84,9.19047619047619,4.5,17.0
85,9.380952380952381,4.5,17.0
86,9.523809523809524,4.5,17.0
87,9.619047619047619,4.5,17.5
88,9.761904761904763,4.5,17.5
89,9.904761904761905,4.5,17.5
90,10.095238095238095,4.5,18.0
91,10.333333333333334,4.5,18.5
92,10.333333333333334,4.5,18.5
93,10.523809523809524,4.5,18.5
94,10.904761904761905,4.5,19.5
95,11.095238095238095,4.5,19.5
96,11.19047619047619,4.5,20.0
97,11.523809523809524,5.0,20.0
98,11.761904761904763,6.0,20.5
99,12.19047619047619,6.0,21.0
100,12.428571428571429,6.0,21.5
101,12.80952380952381,6.0,22.0
102,12.952380952380953,6.5,22.5
103,13.285714285714286,6.5,23.5
104,13.714285714285714,6.5,24.0
105,13.857142857142858,6.5,24.0
106,14.047619047619047,6.5,24.5
107,14.333333333333334,6.5,25.5
108,14.476190476190476,6.5,25.5
109,14.666666666666666,6.5,26.0
110,14.80952380952381,6.5,26.5
111,14.952380952380953,6.5,27.0
112,15.19047619047619,6.5,27.0
113,15.476190476190476,6.5,27.0
114,15.761904761904763,6.5,27.0
115,15.952380952380953,6.5,27.5
116,16.476190476190474,6.5,27.5
117,16.904761904761905,7.0,27.5
118,17.19047619047619,7.0,28.0
119,17.238095238095237,7.0,28.5
120,17.61904761904762,7.0,29.0
121,17.904761904761905,7.0,29.0
122,18.19047619047619,7.0,29.5
123,18.38095238095238,7.0,29.5
124,18.904761904761905,7.0,30.5
125,19.095238095238095,7.0,30.5
126,19.333333333333332,7.0,31.0
127,19.571428571428573,7.0,31.0
128,20.0,7.0,32.0
129,20.142857142857142,7.0,32.0
130,20.61904761904762,7.5,32.0
131,20.80952380952381,8.0,33.0
132,21.047619047619047,8.0,33.0
133,21.38095238095238,8.5,33.5
134,21.857142857142858,8.5,34.0
135,22.0,8.5,35.0
136,22.38095238095238,8.5,36.0
