day,mean_count,ci2.5_count,ci97.5_count
0,20.0,20.0,20.0
1,20.0,20.0,20.0
2,20.0,20.0,20.0
3,20.0,20.0,20.0
4,20.0,20.0,20.0
5,20.0,20.0,20.0
6,20.0,20.0,20.0
7,20.047619047619047,20.0,20.5
8,20.095238095238095,20.0,21.0
9,20.095238095238095,20.0,21.0
10,20.095238095238095,20.0,21.0
11,20.095238095238095,20.0,21.0
12,20.095238095238095,20.0,21.0
13,20.095238095238095,20.0,21.0
14,20.095238095238095,20.0,21.0
15,20.095238095238095,20.0,21.0
16,20.142857142857142,20.0,21.0
17,20.238095238095237,20.0,21.0
18,20.238095238095237,20.0,21.0
19,20.285714285714285,20.0,21.0
20,20.285714285714285,20.0,21.0
21,20.428571428571427,20.0,21.0
22,20.571428571428573,20.0,22.0
23,20.714285714285715,20.0,22.5
24,20.714285714285715,20.0,22.5
25,20.714285714285715,20.0,22.5
26,20.80952380952381,20.0,23.0
27,21.0,20.0,23.0
28,21.238095238095237,20.0,24.0
29,21.285714285714285,20.0,24.5
30,21.285714285714285,20.0,24.5
31,21.333333333333332,20.0,24.5
32,21.476190476190474,20.0,25.0
33,21.571428571428573,20.0,25.0
34,21.714285714285715,20.0,25.5
35,21.714285714285715,20.0,25.5
36,21.761904761904763,20.0,25.5
37,21.80952380952381,20.0,25.5
38,22.0,20.0,25.5
39,22.095238095238095,20.0,26.0
40,22.333333333333332,20.0,26.0
41,22.38095238095238,20.0,26.0
42,22.476190476190474,20.0,26.5
43,22.571428571428573,20.0,27.0
44,22.666666666666668,20.0,27.0
45,22.666666666666668,20.0,27.0
46,22.80952380952381,20.5,27.0
47,22.952380952380953,21.0,27.0
48,22.952380952380953,21.0,27.0
49,23.095238095238095,21.0,27.0
50,23.19047619047619,21.0,27.0
51,23.38095238095238,21.0,27.5
52,23.571428571428573,21.0,28.5
53,23.714285714285715,21.0,28.5
54,23.80952380952381,21.0,28.5
55,23.952380952380953,21.0,28.5
56,24.142857142857142,21.0,28.5
57,24.285714285714285,21.0,29.0
58,24.428571428571427,21.0,29.0
59,24.571428571428573,21.5,29.5
60,24.761904761904763,22.0,30.0
61,24.952380952380953,22.0,30.0
62,25.095238095238095,22.0,30.0
63,25.428571428571427,22.0,30.5
64,25.476190476190474,22.0,30.5
65,25.61904761904762,22.0,31.5
66,25.761904761904763,22.5,31.5
67,26.095238095238095,22.5,32.0
68,26.238095238095237,22.5,32.0
69,26.571428571428573,22.5,32.5
70,26.857142857142858,23.0,33.0
71,26.952380952380953,23.0,33.0
72,27.095238095238095,23.0,33.0
73,27.142857142857142,23.0,33.0
74,27.38095238095238,23.0,33.0
75,27.523809523809526,23.0,34.0
76,27.666666666666668,23.5,34.0
77,27.80952380952381,23.5,34.0
78,28.0,23.5,34.0
79,28.238095238095237,23.5,34.5
80,28.333333333333332,23.5,35.0
81,28.571428571428573,23.5,35.5
82,28.80952380952381,23.5,36.0
83,28.904761904761905,23.5,36.5
84,29.19047619047619,24.5,37.0
85,29.38095238095238,24.5,37.0
86,29.523809523809526,24.5,37.0
87,29.61904761904762,24.5,37.5
88,29.761904761904763,24.5,37.5
89,29.904761904761905,24.5,37.5
90,30.095238095238095,24.5,38.0
91,30.333333333333332,24.5,38.5
92,30.333333333333332,24.5,38.5
93,30.523809523809526,24.5,38.5
94,30.904761904761905,24.5,39.5
95,31.095238095238095,24.5,39.5
96,31.19047619047619,24.5,40.0
97,31.523809523809526,25.0,40.0
98,31.761904761904763,26.0,40.5
99,32.19047619047619,26.0,41.0
100,32.42857142857143,26.0,41.5
101,32.80952380952381,26.0,42.0
102,32.95238095238095,26.5,42.5
103,33.285714285714285,26.5,43.5
104,33.714285714285715,26.5,44.0
105,33.857142857142854,26.5,44.0
106,34.04761904761905,26.5,44.5
107,34.333333333333336,26.5,45.5
108,34.476190476190474,26.5,45.5
109,34.666666666666664,26.5,46.0
110,34.80952380952381,26.5,46.5
111,34.95238095238095,26.5,47.0
112,35.19047619047619,26.5,47.0
113,35.476190476190474,26.5,47.0
114,35.76190476190476,26.5,47.0
115,35.95238095238095,26.5,47.5
116,36.476190476190474,26.5,47.5
117,36.904761904761905,27.0,47.5
118,37.19047619047619,27.0,48.0
119,37.23809523809524,27.0,48.5
120,37.61904761904762,27.0,49.0
121,37.904761904761905,27.0,49.0
122,38.19047619047619,27.0,49.5
123,38.38095238095238,27.0,49.5
124,38.904761904761905,27.0,50.5
125,39.095238095238095,27.0,50.5
126,39.333333333333336,27.0,51.0
127,39.57142857142857,27.0,51.0
128,40.0,27.0,52.0
129,40.142857142857146,27.0,52.0
130,40.61904761904762,27.5,52.0
131,40.80952380952381,28.0,53.0
132,41.04761904761905,28.0,53.0
133,41.38095238095238,28.5,53.5
134,41.857142857142854,28.5,54.0
135,42.0,28.5,55.0
136,42.38095238095238,28.5,56.0
137,42.666666666666664,28.5,56.0
138,42.904761904761905,28.5,57.0
139,43.333333333333336,28.5,57.0
140,43.61904761904762,29.5,57.0
141,44.0,29.5,57.0
142,44.285714285714285,30.0,57.0
143,44.714285714285715,30.0,58.0
144,44.95238095238095,30.0,59.0
145,45.57142857142857,30.5,60.0
146,45.857142857142854,31.5,60.0
147,46.42857142857143,31.5,61.0
148,46.95238095238095,32.0,61.0
149,47.38095238095238,32.0,61.0
150,47.666666666666664,32.5,61.0
151,48.19047619047619,33.5,62.0
152,48.523809523809526,33.5,62.0
153,49.095238095238095,33.5,63.0
154,49.666666666666664,34.0,63.0
155,50.095238095238095,34.0,65.0
156,50.38095238095238,34.0,65.0
157,50.714285714285715,34.5,65.0
158,51.0,34.5,65.0
159,51.57142857142857,35.5,65.0
160,51.80952380952381,35.5,65.0
161,52.19047619047619,36.0,65.5
162,52.666666666666664,36.0,67.5
163,53.285714285714285,36.5,68.0
164,53.76190476190476,36.5,69.0
165,54.0,36.5,69.0
166,54.42857142857143,37.0,69.0
167,54.714285714285715,37.0,70.0
168,55.23809523809524,37.5,71.5
169,55.57142857142857,37.5,71.5
170,56.095238095238095,38.0,71.5
171,56.42857142857143,38.5,71.5
172,56.714285714285715,38.5,71.5
173,57.095238095238095,39.0,72.0
174,57.523809523809526,39.0,72.5
175,57.95238095238095,39.5,72.5
176,58.38095238095238,39.5,72.5
177,58.904761904761905,40.0,73.5
178,59.38095238095238,40.5,74.0
179,59.666666666666664,40.5,75.5
180,60.142857142857146,41.0,76.0
181,40.523809523809526,21.0,58.0
182,40.76190476190476,21.0,58.0
183,41.04761904761905,21.5,58.0
184,41.19047619047619,21.5,58.5
185,41.76190476190476,22.0,59.0
186,42.095238095238095,22.0,59.0
187,42.333333333333336,22.5,59.0
188,42.904761904761905,23.0,59.5
189,43.19047619047619,23.5,59.5
190,43.285714285714285,23.5,59.5
191,43.714285714285715,23.5,59.5
192,44.0,23.5,60.0
193,44.476190476190474,23.5,61.5
