day,mean_count,ci2.5_count,ci97.5_count
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.047619047619047616,0.0,0.5
6,0.09523809523809523,0.0,1.0
7,0.14285714285714285,0.0,1.0
8,0.14285714285714285,0.0,1.0
9,0.14285714285714285,0.0,1.0
10,0.2857142857142857,0.0,1.0
11,0.42857142857142855,0.0,1.5
12,0.47619047619047616,0.0,1.5
13,0.7142857142857143,0.0,2.0
14,0.9047619047619048,0.0,2.0
15,1.0,0.0,3.0
16,1.0,0.0,3.0
17,1.0476190476190477,0.0,3.0
18,1.0952380952380953,0.0,3.0
19,1.3333333333333333,0.0,3.0
20,1.4285714285714286,0.0,3.0
21,1.4761904761904763,0.0,3.5
22,1.5238095238095237,0.0,3.5
23,1.7142857142857142,0.0,4.5
24,1.9523809523809523,0.5,5.0
25,2.142857142857143,0.5,5.0
26,2.238095238095238,0.5,5.0
27,2.2857142857142856,0.5,5.0
28,2.2857142857142856,0.5,5.0
29,2.3333333333333335,0.5,5.5
30,2.380952380952381,0.5,5.5
31,2.4285714285714284,0.5,6.0
32,2.4761904761904763,0.5,6.0
33,2.4761904761904763,0.5,6.0
34,2.5238095238095237,0.5,6.0
35,2.5238095238095237,0.5,6.0
36,2.619047619047619,0.5,6.0
37,2.7142857142857144,0.5,6.5
38,2.857142857142857,0.5,6.5
39,2.857142857142857,0.5,6.5
40,2.9047619047619047,0.5,6.5
41,2.9523809523809526,1.0,6.5
42,3.0952380952380953,1.0,6.5
43,3.238095238095238,1.0,6.5
44,3.4285714285714284,1.0,6.5
45,3.4285714285714284,1.0,6.5
46,3.619047619047619,1.0,7.0
47,3.7142857142857144,1.0,7.0
48,3.8095238095238093,1.0,7.5
49,3.9523809523809526,1.0,8.0
50,4.0476190476190474,1.0,8.0
51,4.333333333333333,1.0,8.0
52,4.571428571428571,1.0,8.5
53,4.809523809523809,1.0,9.0
54,5.0,1.5,9.0
55,5.095238095238095,1.5,9.0
56,5.238095238095238,1.5,9.0
57,5.380952380952381,1.5,9.5
58,5.666666666666667,1.5,10.5
59,5.857142857142857,1.5,10.5
60,6.0,2.0,10.5
61,6.190476190476191,2.0,10.5
62,6.285714285714286,2.0,10.5
63,6.476190476190476,2.0,11.0
64,6.666666666666667,2.0,11.5
65,6.857142857142857,2.5,12.0
66,6.857142857142857,2.5,12.0
67,7.0476190476190474,2.5,12.0
68,7.285714285714286,2.5,13.0
69,7.380952380952381,3.0,13.0
70,7.476190476190476,3.0,13.0
71,7.666666666666667,3.0,13.0
72,7.857142857142857,3.0,13.0
73,7.9523809523809526,3.0,13.0
74,8.047619047619047,3.5,13.0
75,8.285714285714286,3.5,14.0
76,8.571428571428571,4.0,14.0
77,8.857142857142858,4.0,14.5
78,9.19047619047619,4.0,15.0
79,9.523809523809524,4.0,16.0
80,9.571428571428571,4.0,16.0
81,9.761904761904763,4.0,16.5
82,10.047619047619047,4.0,17.0
83,10.333333333333334,4.5,17.5
84,10.619047619047619,4.5,18.0
85,10.80952380952381,5.0,18.0
86,11.095238095238095,5.5,19.0
87,11.238095238095237,5.5,19.0
88,11.428571428571429,6.0,19.0
89,11.761904761904763,6.0,19.0
90,12.0,6.0,19.0
91,12.285714285714286,6.0,19.0
92,12.380952380952381,6.0,19.0
93,12.666666666666666,6.5,19.5
94,13.047619047619047,7.5,20.0
95,13.333333333333334,7.5,21.0
96,13.571428571428571,7.5,21.0
97,13.904761904761905,8.0,21.5
98,14.142857142857142,8.0,22.5
99,14.428571428571429,8.5,23.0
100,14.619047619047619,8.5,23.5
101,14.761904761904763,8.5,24.0
102,15.047619047619047,8.5,24.0
103,15.047619047619047,8.5,24.0
104,15.571428571428571,8.5,26.0
105,15.952380952380953,9.0,26.0
106,16.238095238095237,9.0,27.0
107,16.428571428571427,9.0,27.0
108,16.904761904761905,9.5,29.0
109,17.142857142857142,9.5,29.5
110,17.714285714285715,9.5,30.5
111,18.19047619047619,9.5,31.5
112,18.523809523809526,9.5,32.0
113,18.857142857142858,9.5,33.0
114,19.047619047619047,9.5,33.0
115,19.333333333333332,9.5,33.5
116,19.761904761904763,10.0,33.5
117,20.0,10.5,33.5
118,20.61904761904762,10.5,34.0
119,20.714285714285715,10.5,34.0
120,20.952380952380953,10.5,34.0
121,21.333333333333332,10.5,35.0
122,21.761904761904763,10.5,35.0
123,21.952380952380953,10.5,35.0
124,22.333333333333332,11.0,35.0
125,22.714285714285715,11.0,35.5
126,23.047619047619047,11.5,36.0
127,23.61904761904762,12.5,36.0
128,24.047619047619047,13.0,36.5
129,24.333333333333332,13.0,38.0
130,24.571428571428573,13.0,38.0
131,24.952380952380953,13.0,38.5
132,25.333333333333332,13.0,39.0
133,25.523809523809526,13.0,39.5
134,25.80952380952381,13.0,40.5
135,26.0,13.0,41.0
136,26.238095238095237,13.0,41.5
