day,mean_count,ci2.5_count,ci97.5_count
0,20.0,20.0,20.0
1,20.0,20.0,20.0
2,20.0,20.0,20.0
3,20.0,20.0,20.0
4,20.0,20.0,20.0
5,20.047619047619047,20.0,20.5
6,20.095238095238095,20.0,21.0
7,20.142857142857142,20.0,21.0
8,20.142857142857142,20.0,21.0
9,20.142857142857142,20.0,21.0
10,20.285714285714285,20.0,21.0
11,20.428571428571427,20.0,21.5
12,20.476190476190474,20.0,21.5
13,20.714285714285715,20.0,22.0
14,20.904761904761905,20.0,22.0
15,21.0,20.0,23.0
16,21.0,20.0,23.0
17,21.047619047619047,20.0,23.0
18,21.095238095238095,20.0,23.0
19,21.333333333333332,20.0,23.0
20,21.428571428571427,20.0,23.0
21,21.476190476190474,20.0,23.5
22,21.523809523809526,20.0,23.5
23,21.714285714285715,20.0,24.5
24,21.952380952380953,20.5,25.0
25,22.142857142857142,20.5,25.0
26,22.238095238095237,20.5,25.0
27,22.285714285714285,20.5,25.0
28,22.285714285714285,20.5,25.0
29,22.333333333333332,20.5,25.5
30,22.38095238095238,20.5,25.5
31,22.428571428571427,20.5,26.0
32,22.476190476190474,20.5,26.0
33,22.476190476190474,20.5,26.0
34,22.523809523809526,20.5,26.0
35,22.523809523809526,20.5,26.0
36,22.61904761904762,20.5,26.0
37,22.714285714285715,20.5,26.5
38,22.857142857142858,20.5,26.5
39,22.857142857142858,20.5,26.5
40,22.904761904761905,20.5,26.5
41,22.952380952380953,21.0,26.5
42,23.095238095238095,21.0,26.5
43,23.238095238095237,21.0,26.5
44,23.428571428571427,21.0,26.5
45,23.428571428571427,21.0,26.5
46,23.61904761904762,21.0,27.0
47,23.714285714285715,21.0,27.0
48,23.80952380952381,21.0,27.5
49,23.952380952380953,21.0,28.0
50,24.047619047619047,21.0,28.0
51,24.333333333333332,21.0,28.0
52,24.571428571428573,21.0,28.5
53,24.80952380952381,21.0,29.0
54,25.0,21.5,29.0
55,25.095238095238095,21.5,29.0
56,25.238095238095237,21.5,29.0
57,25.38095238095238,21.5,29.5
58,25.666666666666668,21.5,30.5
59,25.857142857142858,21.5,30.5
60,26.0,22.0,30.5
61,26.19047619047619,22.0,30.5
62,26.285714285714285,22.0,30.5
63,26.476190476190474,22.0,31.0
64,26.666666666666668,22.0,31.5
65,26.857142857142858,22.5,32.0
66,26.857142857142858,22.5,32.0
67,27.047619047619047,22.5,32.0
68,27.285714285714285,22.5,33.0
69,27.38095238095238,23.0,33.0
70,27.476190476190474,23.0,33.0
71,27.666666666666668,23.0,33.0
72,27.857142857142858,23.0,33.0
73,27.952380952380953,23.0,33.0
74,28.047619047619047,23.5,33.0
75,28.285714285714285,23.5,34.0
76,28.571428571428573,24.0,34.0
77,28.857142857142858,24.0,34.5
78,29.19047619047619,24.0,35.0
79,29.523809523809526,24.0,36.0
80,29.571428571428573,24.0,36.0
81,29.761904761904763,24.0,36.5
82,30.047619047619047,24.0,37.0
83,30.333333333333332,24.5,37.5
84,30.61904761904762,24.5,38.0
85,30.80952380952381,25.0,38.0
86,31.095238095238095,25.5,39.0
87,31.238095238095237,25.5,39.0
88,31.428571428571427,26.0,39.0
89,31.761904761904763,26.0,39.0
90,32.0,26.0,39.0
91,32.285714285714285,26.0,39.0
92,32.38095238095238,26.0,39.0
93,32.666666666666664,26.5,39.5
94,33.04761904761905,27.5,40.0
95,33.333333333333336,27.5,41.0
96,33.57142857142857,27.5,41.0
97,33.904761904761905,28.0,41.5
98,34.142857142857146,28.0,42.5
99,34.42857142857143,28.5,43.0
100,34.61904761904762,28.5,43.5
101,34.76190476190476,28.5,44.0
102,35.04761904761905,28.5,44.0
103,35.04761904761905,28.5,44.0
104,35.57142857142857,28.5,46.0
105,35.95238095238095,29.0,46.0
106,36.23809523809524,29.0,47.0
107,36.42857142857143,29.0,47.0
108,36.904761904761905,29.5,49.0
109,37.142857142857146,29.5,49.5
110,37.714285714285715,29.5,50.5
111,38.19047619047619,29.5,51.5
112,38.523809523809526,29.5,52.0
113,38.857142857142854,29.5,53.0
114,39.04761904761905,29.5,53.0
115,39.333333333333336,29.5,53.5
116,39.76190476190476,30.0,53.5
117,40.0,30.5,53.5
118,40.61904761904762,30.5,54.0
119,40.714285714285715,30.5,54.0
120,40.95238095238095,30.5,54.0
121,41.333333333333336,30.5,55.0
122,41.76190476190476,30.5,55.0
123,41.95238095238095,30.5,55.0
124,42.333333333333336,31.0,55.0
125,42.714285714285715,31.0,55.5
126,43.04761904761905,31.5,56.0
127,43.61904761904762,32.5,56.0
128,44.04761904761905,33.0,56.5
129,44.333333333333336,33.0,58.0
130,44.57142857142857,33.0,58.0
131,44.95238095238095,33.0,58.5
132,45.333333333333336,33.0,59.0
133,45.523809523809526,33.0,59.5
134,45.80952380952381,33.0,60.5
135,46.0,33.0,61.0
136,46.23809523809524,33.0,61.5
137,46.666666666666664,33.5,61.5
138,46.904761904761905,33.5,61.5
139,47.142857142857146,33.5,62.5
140,47.285714285714285,33.5,62.5
141,47.666666666666664,33.5,63.0
142,47.95238095238095,33.5,63.5
143,48.42857142857143,33.5,64.5
144,48.857142857142854,34.0,65.0
145,49.333333333333336,34.0,65.5
146,49.476190476190474,34.0,66.0
147,50.0,34.5,67.0
148,50.42857142857143,34.5,67.5
149,51.095238095238095,34.5,68.5
150,51.476190476190474,35.5,68.5
151,51.61904761904762,35.5,68.5
152,52.04761904761905,35.5,68.5
153,52.285714285714285,35.5,69.5
154,52.61904761904762,35.5,70.5
155,53.23809523809524,36.0,71.0
156,53.57142857142857,36.0,71.5
157,53.904761904761905,36.0,72.5
158,54.285714285714285,36.5,72.5
159,54.666666666666664,37.0,73.0
160,55.0,37.5,73.5
161,55.57142857142857,38.0,74.0
162,55.95238095238095,38.5,74.0
163,56.23809523809524,39.0,74.0
164,56.523809523809526,39.5,75.5
165,57.04761904761905,40.5,76.0
166,57.476190476190474,40.5,76.5
167,57.76190476190476,41.0,76.5
168,58.19047619047619,41.0,76.5
169,58.523809523809526,41.5,77.0
170,58.95238095238095,41.5,77.5
171,59.476190476190474,41.5,78.5
172,59.904761904761905,41.5,78.5
173,60.333333333333336,41.5,80.0
174,60.95238095238095,42.0,81.0
175,61.333333333333336,42.5,81.5
176,62.095238095238095,44.0,82.5
177,62.523809523809526,44.0,82.5
178,63.0,44.0,82.5
179,63.42857142857143,44.5,82.5
180,64.04761904761905,45.0,84.0
181,44.61904761904762,25.0,65.0
182,45.04761904761905,25.0,65.0
183,45.285714285714285,25.0,65.5
184,45.523809523809526,25.0,66.0
185,45.714285714285715,25.0,66.0
186,45.904761904761905,24.5,66.5
187,46.04761904761905,24.5,67.5
188,46.333333333333336,24.5,67.5
189,46.76190476190476,24.5,68.5
190,47.0,24.5,68.5
191,47.23809523809524,24.5,69.5
192,47.476190476190474,24.5,70.0
193,47.57142857142857,24.5,69.5
